,title,year,advisory,movie_length,genre,rating,metascore,description,votes
281,262.The Rocker(2008),(2008),PG-13,102 min,"Comedy, Music",6.2,"53        
        Metascore","In the 1980s, a drummer is abandoned by his band just before they become rock superstars. Twenty years later, the drummer sees his second chance at stardom arise when he is asked to perform with his teenage nephew's high school rock band.","Votes:
38,961
| Gross:
$6.41M"
282,266.Hannah Montana: The Movie(2009),(2009),G,102 min,"Comedy, Drama, Family",4.5,"47        
        Metascore","As Hannah Montana's popularity begins to take over her life, Miley Stewart, on the urging from her father takes a trip to her hometown of Crowley Corners, Tennessee to get some perspective on what matters in life the most.","Votes:
42,940
| Gross:
$79.57M"
283,267.Nick and Norah's Infinite Playlist(2008),(2008),PG-13,90 min,"Comedy, Drama, Music",6.6,"64        
        Metascore","High school student Nick O'Leary, member of the Queercore band The Jerk Offs, meets college-bound Norah Silverberg when she asks him to be her boyfriend for five minutes.","Votes:
92,828
| Gross:
$31.49M"
284,268.Confessions of a Teenage Drama Queen(2004),(2004),PG,89 min,"Comedy, Family, Music",4.6,"33        
        Metascore","A teenage girl is convinced that her home city revolves around her until her family packs up and moves to the suburbs, where she finds herself competing for attention.","Votes:
29,537
| Gross:
$29.33M"
285,270.The Lizzie McGuire Movie(2003),(2003),PG,94 min,"Adventure, Comedy, Family",5.5,"56        
        Metascore","Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.","Votes:
39,930
| Gross:
$42.73M"
286,271.The Last Song(2010),(2010),PG,107 min,"Drama, Music, Romance",6.0,"33        
        Metascore","A rebellious girl is sent to a Southern beach town for the summer to stay with her father. Through their mutual love of music, the estranged duo learn to reconnect.","Votes:
87,998
| Gross:
$62.95M"
287,"272.Juliet, Naked(2018)",(2018),R,97 min,"Comedy, Drama, Music",6.6,"67        
        Metascore","Annie (the long-suffering girlfriend of Duncan) has an unlikely transatlantic romance with once revered, now faded, singer-songwriter, Tucker Crowe, who also happens to be the subject of Duncan's musical obsession.","Votes:
22,888
| Gross:
$3.44M"
288,273.Quadrophenia(1979),(1979),R,120 min,"Drama, Music",7.2,"79        
        Metascore","Jimmy loathes his job and parents. He seeks solace with his mod clique, scooter riding, and drugs, only to be disappointed.","Votes:
19,246"
289,274.Shall We Dance(2004),(2004),PG-13,106 min,"Comedy, Drama, Music",6.2,"47        
        Metascore","A romantic comedy where a bored, overworked Estate Lawyer, upon first sight of a beautiful instructor, signs up for ballroom dancing lessons.","Votes:
47,367
| Gross:
$57.89M"
290,275.Crossroads(1986),(1986),R,99 min,"Drama, Music, Mystery",7.1,"55        
        Metascore",A wannabe blues guitar virtuoso seeks a long-lost song by the legendary musician Robert Johnson.,"Votes:
16,285
| Gross:
$5.84M"
291,276.Music and Lyrics(2007),(2007),PG-13,104 min,"Comedy, Music, Romance",6.5,"59        
        Metascore","A washed up singer is given a couple days to compose a chart-topping hit for an aspiring teen sensation. Though he's never written a decent lyric in his life, he sparks with an offbeat younger woman with a flair for words.","Votes:
103,566
| Gross:
$50.57M"
292,279.The Cotton Club(1984),(1984),R,129 min,"Crime, Drama, Music",6.5,"68        
        Metascore","Meet the jazz musicians, dancers, owner, and guests (like gangster Dutch Schultz) of The Cotton Club in 1928-1930s Harlem.","Votes:
18,258
| Gross:
$25.93M"
293,280.Teen Spirit(2018),(2018),PG-13,93 min,"Drama, Music",6.1,"57        
        Metascore","Violet is a shy teenager who dreams of escaping her small town and pursuing her passion to sing. With the help of an unlikely mentor, she enters a local singing competition that will test her integrity, talent and ambition. Driven by a pop-fueled soundtrack, Teen Spirit is a visceral and stylish spin on the Cinderella story.","Votes:
9,078
| Gross:
$0.44M"
294,281.Work It(2020),(2020),TV-14,93 min,"Comedy, Music",6.1,"58        
        Metascore","When Quinn Ackerman's admission to the college of her dreams depends on her performance at a dance competition, she forms a ragtag group of dancers to take on the best squad in school...now she just needs to learn how to dance.","Votes:
13,671"
